dataset	member	kind	field	status
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.NI_TerminalConfiguration	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.maximum	used
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.minimum	used
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.monotony	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.novaluekey	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.unit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.wf_increment	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.wf_samples	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.wf_start_offset	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.wf_start_time	used
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.wf_xname	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai2.wf_xunit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3	used:電流3相・振動1chの本体
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Filter~FilterType	used:電流3相・振動1chの本体
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~HighRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Info	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~LowRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Sensor	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Type	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Chassis~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Chassis~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Device~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Device~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.NI_ChannelValueAverage	used:1.0kWの2022-03-08のみ電流chに約0.17AのDCオフセットを確認
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.NI_DeviceName	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.NI_SensorScale~ScaleType	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.NI_SensorScale~Y-Intercept	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.NI_SensorSensitivity	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.NI_TerminalConfiguration	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.maximum	used
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.minimum	used
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.monotony	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.novaluekey	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.unit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.wf_increment	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.wf_samples	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.wf_start_offset	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.wf_start_time	used
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.wf_xname	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_current_interturn.tdms	field	Log/cDAQ1Mod2/ai3.wf_xunit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	(file)		used:3機体×2故障種×2チャネルを全て読む(docs/205)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Test Information/(no channels)	unused:配布物で空グループ。チャネルが無い
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0	used:電流3相・振動1chの本体
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Channel~Filter~FilterType	used:電流3相・振動1chの本体
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Channel~HighRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Channel~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Channel~Info	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Channel~LowRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Channel~Sensor	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Channel~Type	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Chassis~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Chassis~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Device~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.DAC~Device~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.NI_ChannelValueAverage	used:1.0kWの2022-03-08のみ電流chに約0.17AのDCオフセットを確認
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.NI_DeviceName	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.NI_SensorScale~ScaleType	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.NI_SensorScale~Y-Intercept	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.NI_SensorSensitivity	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.NI_TerminalConfiguration	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.maximum	used
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.minimum	used
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.monotony	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.novaluekey	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.unit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.wf_increment	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.wf_samples	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.wf_start_offset	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.wf_start_time	used
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.wf_xname	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai0.wf_xunit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2	used:電流3相・振動1chの本体
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Channel~Filter~FilterType	used:電流3相・振動1chの本体
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Channel~HighRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Channel~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Channel~Info	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Channel~LowRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Channel~Sensor	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Channel~Type	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Chassis~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Chassis~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Device~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.DAC~Device~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.NI_ChannelValueAverage	used:1.0kWの2022-03-08のみ電流chに約0.17AのDCオフセットを確認
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.NI_DeviceName	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.NI_SensorScale~ScaleType	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.NI_SensorScale~Y-Intercept	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.NI_SensorSensitivity	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.NI_TerminalConfiguration	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.maximum	used
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.minimum	used
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.monotony	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.novaluekey	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.unit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.wf_increment	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.wf_samples	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.wf_start_offset	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.wf_start_time	used
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.wf_xname	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai2.wf_xunit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3	used:電流3相・振動1chの本体
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Filter~FilterType	used:電流3相・振動1chの本体
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~HighRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Info	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~LowRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Sensor	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Channel~Type	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Chassis~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Chassis~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Device~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.DAC~Device~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.NI_ChannelValueAverage	used:1.0kWの2022-03-08のみ電流chに約0.17AのDCオフセットを確認
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.NI_DeviceName	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.NI_SensorScale~ScaleType	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.NI_SensorScale~Y-Intercept	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.NI_SensorSensitivity	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.NI_TerminalConfiguration	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.maximum	used
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.minimum	used
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.monotony	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.novaluekey	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.unit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.wf_increment	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.wf_samples	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.wf_start_offset	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.wf_start_time	used
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.wf_xname	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#.#_current_intercoil.tdms	field	Log/cDAQ1Mod2/ai3.wf_xunit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	(file)		used:3機体×2故障種×2チャネルを全て読む(docs/205)
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Test Information/(no channels)	unused:配布物で空グループ。チャネルが無い
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3	used:電流3相・振動1chの本体
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~HighRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~LowRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~Sensor	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~Type	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Chassis~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Chassis~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Device~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Device~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.NI_ChannelValueAverage	used:1.0kWの2022-03-08のみ電流chに約0.17AのDCオフセットを確認
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.NI_DeviceName	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.NI_ExcitationSource	used:電流3相・振動1chの本体
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.NI_ExcitationValue	used:電流3相・振動1chの本体
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.NI_SensorScale~ScaleType	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.NI_SensorSensitivity	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.NI_TerminalConfiguration	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.maximum	used
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.minimum	used
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.monotony	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.novaluekey	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.unit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.wf_increment	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.wf_samples	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.wf_start_offset	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.wf_start_time	used
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.wf_xname	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_vibration_intercoil.tdms	field	Log/cDAQ1Mod1/ai3.wf_xunit_string	used:サンプリング条件の確認に参照
.pmsm_fault	#W_#_#_vibration_interturn.tdms	(file)		used:3機体×2故障種×2チャネルを全て読む(docs/205)
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Test Information/(no channels)	unused:配布物で空グループ。チャネルが無い
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3	used:電流3相・振動1chの本体
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~HighRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~LowRange	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~Sensor	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Channel~Type	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Chassis~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Chassis~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Device~Id	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.DAC~Device~Name	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.NI_ChannelValueAverage	used:1.0kWの2022-03-08のみ電流chに約0.17AのDCオフセットを確認
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.NI_DeviceName	unused:計測器の識別情報。解析に用いる量ではない
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.NI_ExcitationSource	used:電流3相・振動1chの本体
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.NI_ExcitationValue	used:電流3相・振動1chの本体
.pmsm_fault	#W_#_#_vibration_interturn.tdms	field	Log/cDAQ1Mod1/ai3.NI_SensorScale~ScaleType	used:機体間・セッション間で同一であることを確認済(全て感度1.0・±10V・Rse)
